Time	Javier Milei	Sergio Massa
2023-11-12T11:32:00	7	4
2023-11-12T11:40:00	7	4
2023-11-12T11:48:00	6	4
2023-11-12T11:56:00	7	5
2023-11-12T12:04:00	6	4
2023-11-12T12:12:00	6	4
2023-11-12T12:20:00	6	4
2023-11-12T12:28:00	7	4
2023-11-12T12:36:00	7	4
2023-11-12T12:44:00	6	5
2023-11-12T12:52:00	7	5
2023-11-12T13:00:00	7	4
2023-11-12T13:08:00	6	4
2023-11-12T13:16:00	7	5
2023-11-12T13:24:00	7	4
2023-11-12T13:32:00	8	4
2023-11-12T13:40:00	8	4
2023-11-12T13:48:00	7	4
2023-11-12T13:56:00	7	5
2023-11-12T14:04:00	6	4
2023-11-12T14:12:00	7	4
2023-11-12T14:20:00	7	5
2023-11-12T14:28:00	8	5
2023-11-12T14:36:00	7	4
2023-11-12T14:44:00	6	4
2023-11-12T14:52:00	6	4
2023-11-12T15:00:00	5	4
2023-11-12T15:08:00	6	4
2023-11-12T15:16:00	6	4
2023-11-12T15:24:00	6	4
2023-11-12T15:32:00	6	4
2023-11-12T15:40:00	6	4
2023-11-12T15:48:00	6	4
2023-11-12T15:56:00	5	4
2023-11-12T16:04:00	5	3
2023-11-12T16:12:00	6	4
2023-11-12T16:20:00	6	3
2023-11-12T16:28:00	5	3
2023-11-12T16:36:00	5	3
2023-11-12T16:44:00	5	3
2023-11-12T16:52:00	6	4
2023-11-12T17:00:00	6	4
2023-11-12T17:08:00	5	4
2023-11-12T17:16:00	6	4
2023-11-12T17:24:00	6	4
2023-11-12T17:32:00	6	4
2023-11-12T17:40:00	6	5
2023-11-12T17:48:00	6	4
2023-11-12T17:56:00	6	4
2023-11-12T18:04:00	6	5
2023-11-12T18:12:00	6	4
2023-11-12T18:20:00	6	4
2023-11-12T18:28:00	6	4
2023-11-12T18:36:00	5	3
2023-11-12T18:44:00	6	4
2023-11-12T18:52:00	7	5
2023-11-12T19:00:00	8	6
2023-11-12T19:08:00	7	5
2023-11-12T19:16:00	8	6
2023-11-12T19:24:00	8	6
2023-11-12T19:32:00	9	6
2023-11-12T19:40:00	9	6
2023-11-12T19:48:00	9	6
2023-11-12T19:56:00	10	8
2023-11-12T20:04:00	10	8
2023-11-12T20:12:00	10	7
2023-11-12T20:20:00	10	7
2023-11-12T20:28:00	10	8
2023-11-12T20:36:00	12	8
2023-11-12T20:44:00	12	9
2023-11-12T20:52:00	13	10
2023-11-12T21:00:00	14	14
2023-11-12T21:08:00	18	19
2023-11-12T21:16:00	32	28
2023-11-12T21:24:00	49	24
2023-11-12T21:32:00	34	34
2023-11-12T21:40:00	69	56
2023-11-12T21:48:00	52	37
2023-11-12T21:56:00	42	37
2023-11-12T22:04:00	100	42
2023-11-12T22:12:00	48	51
2023-11-12T22:20:00	41	42
2023-11-12T22:28:00	52	41
2023-11-12T22:36:00	59	37
2023-11-12T22:44:00	42	41
2023-11-12T22:52:00	41	39
2023-11-12T23:00:00	50	38
2023-11-12T23:08:00	40	34
2023-11-12T23:16:00	39	36
2023-11-12T23:24:00	33	30
2023-11-12T23:32:00	36	26
2023-11-12T23:40:00	38	28
2023-11-12T23:48:00	34	27
2023-11-12T23:56:00	30	23
2023-11-13T00:04:00	27	23
2023-11-13T00:12:00	25	19
2023-11-13T00:20:00	27	20
2023-11-13T00:28:00	29	22
2023-11-13T00:36:00	28	22
2023-11-13T00:44:00	28	20
2023-11-13T00:52:00	26	20
2023-11-13T01:00:00	30	19
2023-11-13T01:08:00	30	19
2023-11-13T01:16:00	32	19
2023-11-13T01:24:00	30	18
2023-11-13T01:32:00	36	15
2023-11-13T01:40:00	45	16
2023-11-13T01:48:00	41	16
2023-11-13T01:56:00	35	16
2023-11-13T02:04:00	40	16
2023-11-13T02:12:00	39	14
2023-11-13T02:20:00	37	17
2023-11-13T02:28:00	35	16
2023-11-13T02:36:00	36	16
2023-11-13T02:44:00	35	15
2023-11-13T02:52:00	33	14
2023-11-13T03:00:00	32	12
2023-11-13T03:08:00	34	12
2023-11-13T03:16:00	26	10
2023-11-13T03:24:00	30	11
2023-11-13T03:32:00	27	12
2023-11-13T03:40:00	33	12
2023-11-13T03:48:00	26	14
2023-11-13T03:56:00	27	12
2023-11-13T04:04:00	24	9
2023-11-13T04:12:00	30	14
2023-11-13T04:20:00	26	12
2023-11-13T04:28:00	25	14
2023-11-13T04:36:00	24	10
2023-11-13T04:44:00	24	9
2023-11-13T04:52:00	23	11
2023-11-13T05:00:00	20	8
2023-11-13T05:08:00	21	11
2023-11-13T05:16:00	17	9
2023-11-13T05:24:00	20	12
2023-11-13T05:32:00	21	10
2023-11-13T05:40:00	19	9
2023-11-13T05:48:00	19	10
2023-11-13T05:56:00	18	10
2023-11-13T06:04:00	18	11
2023-11-13T06:12:00	18	11
2023-11-13T06:20:00	20	9
2023-11-13T06:28:00	19	10
2023-11-13T06:36:00	20	10
2023-11-13T06:44:00	21	11
2023-11-13T06:52:00	22	11
2023-11-13T07:00:00	19	10
2023-11-13T07:08:00	23	11
2023-11-13T07:16:00	24	12
2023-11-13T07:24:00	24	12
2023-11-13T07:32:00	24	11
2023-11-13T07:40:00	23	11
2023-11-13T07:48:00	24	11
2023-11-13T07:56:00	22	11
2023-11-13T08:04:00	25	11
2023-11-13T08:12:00	24	11
2023-11-13T08:20:00	24	10
2023-11-13T08:28:00	22	11
2023-11-13T08:36:00	22	10
2023-11-13T08:44:00	21	10
2023-11-13T08:52:00	21	10
2023-11-13T09:00:00	21	9
2023-11-13T09:08:00	20	10
2023-11-13T09:16:00	21	10
2023-11-13T09:24:00	20	9
2023-11-13T09:32:00	22	9
2023-11-13T09:40:00	22	9
2023-11-13T09:48:00	24	9
2023-11-13T09:56:00	21	9
2023-11-13T10:04:00	21	10
2023-11-13T10:12:00	22	9
2023-11-13T10:20:00	20	9
2023-11-13T10:28:00	21	9
2023-11-13T10:36:00	21	10
2023-11-13T10:44:00	20	9
2023-11-13T10:52:00	21	8
2023-11-13T11:00:00	21	8
2023-11-13T11:08:00	20	8
2023-11-13T11:16:00	20	8
